question,answer,option1,option2,option3,option4
ما هو الجهاز الذي يقوم بمعالجة البيانات داخل الحاسب؟,وحدة المعالجة المركزية CPU,الذاكرة RAM,وحدة المعالجة المركزية CPU,القرص الصلب,كارت الشاشة
أي من التالي يُعد من لغات البرمجة؟,JavaScript,Word,Excel,JavaScript,Windows
ما معنى كلمة Algorithm بالعربية؟,خوارزمية - مجموعة خطوات لحل مشكلة,خوارزمية - مجموعة خطوات لحل مشكلة,فيروس حاسوب,ملف صورة,شبكة إنترنت
أي نظام أعداد يستخدمه الحاسب داخلياً؟,الثنائي (0 و 1),العشري,الثنائي (0 و 1),السداسي عشر,الثماني فقط
البرنامج الذي يترجم كود البرمجة لغة الآلة يسمى؟,مترجم Compiler/مفسر,متصفح,محرر نصوص,مترجم Compiler/مفسر,طابعة
كيف نطبع نصاً على الشاشة في JavaScript؟,"console.log(""hi"")","print(""hi"")","console.log(""hi"")","echo ""hi""","show(""hi"")"
كيف نُعرّف متغيراً في JavaScript؟,var x = 5;,var x = 5;,int x = 5;,x := 5,define x = 5
أي نوع بيانات يمثل النص؟,string,number,boolean,string,array
"ماذا يطبع الكود التالي؟
let x = 5 + 3;",8,8,53,خطأ,undefined
أي العامل يستخدم للمقارنة (يساوي)؟,==,=,==,=>,=>
ما نتيجة العبارة: 10 > 5 ؟,true,false,true,0,خطأ في الكود
أي بنية تُستخدم لاتخاذ قرار (شرط)؟,if,for,if,while,function
كم مرة ينفذ الكود داخل حلقة while طالما الشرط true؟,مرات لا نهائية حتى يتحقق الشرط false,مرة واحدة فقط,مرات لا نهائية حتى يتحقق الشرط false,صفر مرة,مرتين بالضبط
كيف نكتب تعليق comment في JavaScript؟,// تعليق,# تعليق,// تعليق,<!-- تعليق -->,/* تعليق */ فقط للملفات
ما فائدة الدالة function؟,لتجميع كود يمكن إعادة استخدامه,لتلوين النص,لتجميع كود يمكن إعادة استخدامه,لإيقاف البرنامج,لحذف متغير
نتيجة: true && false هي؟,false,true,false,null,undefined
نتيجة: true || false هي؟,true,true,false,null,خطأ
نتيجة: !true هي؟,false,true,false,true true,خطأ
نتيجة: 7 % 3 هي؟ (باقي القسمة),1,2,1,3,0
أي رمز يستخدم لعملية الضرب؟,*,x,*,#,× فقط
كريم شاف على الموبايل: 38° — ده مجرد رقم من غير معنى. ماذا يُسمى هذا؟,بيانات,معلومة,بيانات,معرفة,وسيط
لما قال أخو كريم 'الجو حر أوي، هنسيب الرحلة' — بقى الرقم له معنى واستُخدم في قرار. ماذا أصبح؟,معلومة,بيانات,معرفة,معلومة,وسيط تعبير
بابا كريم قال: 'كل ما الجو فوق 35 صباحاً، الزحمة تقل'. هذا تحليل لبيانات كثيرة على سنين وصول لقاعدة عامة. ماذا يُسمى؟,معرفة,بيانات,معرفة,معلومة أولية,وسيط نقل
شائعة 'الامتحانات هتتأجل' اتصححت، بس بعد أسبوع لسه الطلاب بيقولوها. أي خاصية للمعلومات دي؟,الاستمرارية (لا تُمحى),الانتشار,الاستمرارية (لا تُمحى),قابلية التكرار,الثقافة الإعلامية
صاحب كريم صوّر صفحة ونزّلها في الجروب، وخلال دقيقة بقى فيه 30 نسخة. أي خاصية دي؟,قابلية التكرار (النسخ),الانتشار,الاستمرارية,قابلية التكرار (النسخ),التحقق المتبادل
نفس الصورة اتبعتت لجروب المدرسة كلها، وبعدين انتشرت على فيسبوك في ساعة. أي خاصية دي؟,الانتشار (النشر السريع),الاستمرارية,قابلية التكرار,الانتشار (النشر السريع),المعرفة
كريم عمل تجربة علوم بنفسه وسجّل النتيجة. هذه معلومة من أي نوع؟,أولية,ثانوية,أولية,وسيط تسجيل,معرفة
كريم قرأ نفس التجربة في كتاب المدرسة (مصدر طرف ثالث). هذه معلومة من أي نوع؟,ثانوية,أولية,ثانوية,بيانات خام,وسيط تعبير
كريم سمع إن الرحلة اتلغت، فسأل المدرّس وشاف الإعلان الرسمي ولقاهم متفقين قبل ما يصدّق. ماذا فعل؟,تحقق متبادل (Cross-checking),انتشار,تحقق متبادل (Cross-checking),قابلية تكرار,وسيط نقل
كريم عمل بوستر (رسمة) يعلن فيه عن حفلة المدرسة. أي نوع وسيلة دي؟,وسيط تعبير,وسيط تعبير,وسيط نقل/إرسال,وسيط تسجيل,ثقافة إعلامية
أرسلوا إعلان الحفلة على الواتساب والراديو المدرسي. أي نوع وسيلة دي؟,وسيط نقل/إرسال,وسيط تعبير,وسيط نقل/إرسال,وسيط تسجيل,معرفة
حفظوا نسخة من البوستر على فلاشة USB لطباعتها السنة الجاية. أي نوع وسيلة دي؟,وسيط تسجيل (تخزين),وسيط نقل,وسيط تعبير,وسيط تسجيل (تخزين),معلومة أولية
كريم شاف فيديو غريب عن الفضاء، ففكّر 'مين عمله؟ هل المصدر موثوق؟' وقارنه بمصدر تاني. ماذا طبّق؟,الثقافة الإعلامية,قابلية التكرار,الثقافة الإعلامية,الاستمرارية,المعلومات الثانوية
أي من التالي يُعرَّف بأنه 'حقائق تُمثَّل باستخدام الأرقام أو الأحرف أو الرموز'؟,البيانات,المعلومات,البيانات,المعرفة,الوسائط
أي عبارة صحيحة عن المعلومات؟,ليس لها شكل أو كيان ثابت، ومعناها يختلف حسب المستلم,لها شكل ثابت مثل الجسم المادي,لا يمكن نشرها,ليس لها شكل أو كيان ثابت، ومعناها يختلف حسب المستلم,تختفي فور نشرها
